Food code,Food,Category,Type,Calories (kcal/100g),Protein (g),Carbohydrate (g),Fat (g),Fiber (g),Sugars (g),Vitamin A (mcg),Vitamin B-6 (mg),Vitamin B-12 (mcg),Vitamin C (mg),Vitamin D (mcg),Vitamin E (mg)
92613510,Cornmeal beverage with chocolate milk,Grain drinks,Beverage,108,1.94,20.88,2.4,0.4,17.95,14,0.041,0.19,0.0,0.5,0.04
92801000,"Wine, nonalcoholic",Fruit drinks,Beverage,6,0.5,1.1,0.0,0.0,1.1,0,0.02,0.0,0.0,0.0,0.0
92802000,"Wine, light, nonalcoholic",Fruit drinks,Beverage,6,0.5,1.1,0.0,0.0,1.1,0,0.02,0.0,0.0,0.0,0.0
92803000,Nonalcoholic malt beverage,Fruit drinks,Beverage,37,0.21,8.05,0.12,0.0,8.05,0,0.027000000000000003,0.02,0.5,0.0,0.0
92804000,Shirley Temple,Fruit drinks,Beverage,56,0.0,14.17,0.0,0.1,12.55,0,0.0,0.0,0.0,0.0,0.0
94210100,"Water, bottled, flavored (Propel Water)",Enhanced water,Beverage,5,0.0,1.14,0.0,0.0,0.0,0,0.556,0.0,8.8,0.0,1.67
94210200,"Water, bottled, flavored (Glaceau Vitamin Water)",Enhanced water,Beverage,22,0.0,5.49,0.0,0.0,5.49,32,0.084,0.25,12.7,0.0,1.9
94210300,"Water, bottled, flavored (SoBe Life Water)",Enhanced water,Beverage,5,0.0,1.25,0.0,0.0,0.0,0,0.083,0.25,25.0,0.0,0.56
94220215,"Water, bottled, flavored, sugar free (Glaceau Vitamin Water)",Enhanced water,Beverage,0,0.0,0.0,0.0,0.0,0.0,0,0.338,1.02,10.2,0.0,0.0
94220310,"Water, bottled, flavored, sugar free (SoBe)",Enhanced water,Beverage,0,0.0,0.0,0.0,0.0,0.0,0,0.056,0.17,2.5,0.0,0.57
95101000,"Nutritional drink or shake, ready-to-drink (Boost)",Nutritional beverages,Beverage,101,4.22,17.3,1.69,1.3,8.44,158,0.295,0.89,25.3,2.5,5.7
95101010,"Nutritional drink or shake, ready-to-drink (Boost Plus)",Nutritional beverages,Beverage,138,5.38,17.29,5.38,1.2,8.46,84,0.269,0.81,23.1,2.3,5.19
95102000,"Nutritional drink or shake, ready-to-drink (Carnation Instant Breakfast)",Nutritional beverages,Beverage,90,5.52,12.95,1.92,0.1,12.91,133,0.202,0.71,10.2,1.0,1.26
95103000,"Nutritional drink or shake, ready-to-drink (Ensure)",Nutritional beverages,Beverage,105,3.8,16.88,2.53,0.0,9.7,158,0.211,0.63,12.7,1.1,1.42
95103010,"Nutritional drink or shake, ready-to-drink (Ensure Plus)",Nutritional beverages,Beverage,141,5.16,19.88,4.52,0.0,8.33,149,0.198,0.6,11.9,1.0,1.34
